words,frequency,relative_frequency,type
bread,746,0.14854639585822382,ingredients
toss,743,0.14794902429311033,others
shape,742,0.14774990043807248,others
breadcrumb,729,0.14516129032258066,ingredients
roast,728,0.1449621664675428,techniques
skin,728,0.1449621664675428,others
200c/180c,727,0.14476304261250497,others
filling,726,0.14456391875746716,others
grill,717,0.14277180406212664,techniques
thicken,715,0.14237355635205098,others
ball,714,0.14217443249701314,others
garnish,701,0.1395858223815213,others
film,698,0.13898845081640782,tools
apple,696,0.13859020310633213,ingredients
grease,692,0.1377937076861808,others
sheet,685,0.13639984070091596,ingredients
pur,681,0.13560334528076465,others
12,675,0.13440860215053763,others
parsley,672,0.13381123058542413,ingredients
immediately,670,0.13341298287534847,others
carrot,666,0.13261648745519714,ingredients
mushroom,657,0.13082437275985664,ingredients
ready,656,0.1306252489048188,others
continue,654,0.13022700119474312,others
vinegar,647,0.12883313420947828,ingredients
sausage,642,0.12783751493428913,ingredients
mash,642,0.12783751493428913,techniques
wine,639,0.12724014336917563,ingredients
25,630,0.12544802867383512,others
thyme,630,0.12544802867383512,ingredients
pork,626,0.12465153325368379,ingredients
work,622,0.12385503783353245,others
non,622,0.12385503783353245,others
marinade,622,0.12385503783353245,others
press,618,0.12305854241338113,others
spring,614,0.12226204699322979,others
red,611,0.12166467542811629,ingredients
spice,609,0.12126642771804062,others
bubble,608,0.12106730386300278,others
cooking,604,0.12027080844285146,ingredients
like,603,0.12007168458781362,others
fat,602,0.11987256073277579,others
lime,601,0.11967343687773796,others
repeat,590,0.11748307447232179,others
break,588,0.11708482676224612,others
e,584,0.11628833134209478,others
yolk,581,0.11569095977698128,others
rub,581,0.11569095977698128,others
fill,579,0.11529271206690561,others
heavy,577,0.11489446435682994,ingredients
chill,575,0.11449621664675429,others
pinch,575,0.11449621664675429,others
fork,573,0.11409796893667862,tools
occasionally,571,0.11369972122660295,others
casserole,570,0.1135005973715651,others
ovenproof,568,0.11310234966148945,tools
reserve,568,0.11310234966148945,others
syrup,565,0.11250497809637594,others
aubergine,558,0.1111111111111111,ingredients
yoghurt,556,0.11071286340103545,others
come,547,0.10892074870569494,others
arrange,545,0.10852250099561928,others
rack,545,0.10852250099561928,others
middle,545,0.10852250099561928,others
t,544,0.10832337714058145,others
temperature,541,0.10772600557546794,others
almond,539,0.10732775786539227,others
parmesan,538,0.10712863401035444,ingredients
shallow,537,0.10692951015531661,others
colour,536,0.10673038630027877,others
curry,533,0.10613301473516527,ingredients
40,525,0.10454002389486261,others
courgette,525,0.10454002389486261,others
squeeze,518,0.10314615690959777,techniques
vanilla,510,0.1015531660692951,ingredients
green,507,0.1009557945041816,ingredients
regularly,507,0.1009557945041816,others
dressing,506,0.10075667064914377,others
cinnamon,506,0.10075667064914377,ingredients
boiling,504,0.1003584229390681,others
begin,501,0.09976105137395459,others
fruit,498,0.0991636798088411,techniques
mustard,497,0.09896455595380327,ingredients
sure,484,0.09637594583831142,others
coconut,478,0.09518120270808443,ingredients
bay,477,0.09498207885304659,others
spinach,476,0.09478295499800876,ingredients
long,476,0.09478295499800876,others
wrap,469,0.09338908801274393,others
blender,466,0.09279171644763043,tools
check,465,0.09259259259259259,others
45,465,0.09259259259259259,others
cle,458,0.09119872560732775,tools
gradually,458,0.09119872560732775,others
cooked,458,0.09119872560732775,others
skewer,455,0.09060135404221425,others
couple,453,0.09020310633213859,others
cumin,452,0.09000398247710076,ingredients
prepared,452,0.09000398247710076,others
alongside,452,0.09000398247710076,others
crumble,451,0.08980485862206292,others
herb,450,0.08960573476702509,ingredients
separate,449,0.08940661091198726,others
toast,448,0.08920748705694942,techniques
dust,438,0.08721624850657109,others
evenly,436,0.08681800079649542,others
chickpea,434,0.08641975308641975,ingredients
pie,433,0.08622062923138192,others
slowly,430,0.08562325766626842,others
mince,429,0.08542413381123058,techniques
excess,429,0.08542413381123058,others
seasoning,428,0.08522500995619275,others
shallot,428,0.08522500995619275,others
quarter,428,0.08522500995619275,others
knead,427,0.08502588610115491,techniques
peel,421,0.08383114297092792,others
ground,420,0.08363201911589008,ingredients
strip,419,0.08343289526085225,others
end,417,0.08303464755077658,others
discard,416,0.08283552369573875,others
wooden,415,0.08263639984070091,others
thoroughly,413,0.08223815213062526,others
dissolve,413,0.08223815213062526,others
griddle,412,0.08203902827558741,others
mixing,410,0.08164078056551174,others
light,410,0.08164078056551174,ingredients
circle,407,0.08104340900039825,others
teaspoon,401,0.07984866587017124,others
necessary,399,0.07945041816009558,others
soup,399,0.07945041816009558,others
220c/200c,398,0.07925129430505774,others
cube,398,0.07925129430505774,ingredients
basil,395,0.07865392273994425,ingredients
make,394,0.07845479888490642,others
rise,391,0.07785742731979291,others
flake,388,0.07726005575467941,ingredients
extra,386,0.07686180804460374,others
sieve,386,0.07686180804460374,others
stand,385,0.07666268418956591,others
square,382,0.0760653126244524,others
run,381,0.07586618876941457,others
noodle,380,0.07566706491437675,others
salmon,380,0.07566706491437675,ingredients
parchment,379,0.0754679410593389,tools
let,377,0.07506969334926324,others
batch,376,0.07487056949422541,others
wire,375,0.07467144563918758,others
seal,374,0.07447232178414974,others
lentil,373,0.07427319792911191,ingredients
finish,371,0.07387495021903624,others
bag,371,0.07387495021903624,others
custard,364,0.0724810832337714,others
fresh,363,0.07228195937873358,ingredients
soy,363,0.07228195937873358,ingredients
jam,362,0.07208283552369574,ingredients
wok,361,0.07188371166865791,tools
pea,361,0.07188371166865791,ingredients
mint,361,0.07188371166865791,ingredients
overnight,358,0.0712863401035444,others
sesame,358,0.0712863401035444,ingredients
180c/160c,358,0.0712863401035444,others
orange,356,0.07088809239346874,others
instruction,356,0.07088809239346874,others
s,353,0.07029072082835523,others
soak,353,0.07029072082835523,others
bacon,352,0.0700915969733174,ingredients
firm,351,0.06989247311827956,others
slotted,348,0.06929510155316607,tools
cabbage,348,0.06929510155316607,ingredients
hole,347,0.06909597769812824,others
duck,343,0.0682994822779769,others
topping,341,0.06790123456790123,others
leaf,341,0.06790123456790123,others
electric,341,0.06790123456790123,others
biscuit,340,0.0677021107128634,others
jug,340,0.0677021107128634,others
burger,338,0.06730386300278773,ingredients
size,337,0.0671047391477499,others
pancake,335,0.06670649143767424,others
round,333,0.06630824372759857,others
cauliflower,333,0.06630824372759857,others
honey,332,0.06610911987256073,ingredients
zest,331,0.0659099960175229,ingredients
steam,331,0.0659099960175229,techniques
double,330,0.06571087216248507,ingredients
good,327,0.06511350059737156,others
wedge,327,0.06511350059737156,others
bun,326,0.06491437674233373,ingredients
grated,325,0.0647152528872959,others
splash,324,0.06451612903225806,others
pale,323,0.06431700517722024,others
gentle,319,0.0635205097570689,others
sea,319,0.0635205097570689,ingredients
thin,319,0.0635205097570689,others
pudding,318,0.06332138590203107,others
don,318,0.06332138590203107,others
breast,317,0.06312226204699323,ingredients
pint,316,0.0629231381919554,others
accord,315,0.06272401433691756,others
consistency,315,0.06272401433691756,others
pipe,313,0.062325766626841896,others
roughly,310,0.06172839506172839,techniques
35,310,0.06172839506172839,others
wide,309,0.061529271206690564,others
fluffy,309,0.061529271206690564,others
z,308,0.06133014735165273,others
touch,308,0.06133014735165273,others
sharp,306,0.06093189964157706,others
floured,306,0.06093189964157706,others
quickly,304,0.06053365193150139,others
away,304,0.06053365193150139,others
spatula,303,0.06033452807646356,tools
room,303,0.06033452807646356,others
hold,303,0.06033452807646356,others
packet,302,0.06013540422142573,others
dip,302,0.06013540422142573,others
way,302,0.06013540422142573,others
open,300,0.05973715651135006,others
want,300,0.05973715651135006,others
constantly,299,0.059538032656312224,others
loaf,298,0.05933890880127439,others
marinate,297,0.05913978494623656,techniques
bit,296,0.05894066109119873,others
leek,294,0.05854241338112306,others
finger,292,0.05814416567104739,others
flesh,291,0.05794504181600956,others
paprika,287,0.05714854639585822,ingredients
top,287,0.05714854639585822,others
case,287,0.05714854639585822,others
lift,287,0.05714854639585822,others
mixer,284,0.056551174830744726,others
fine,283,0.05635205097570689,others
sweet,282,0.056152927120669056,ingredients
eat,279,0.05555555555555555,others
nut,279,0.05555555555555555,ingredients
icing,279,0.05555555555555555,others
portion,277,0.05515730784547989,others
cornflour,275,0.05475906013540422,others
help,274,0.054559936280366386,others
cooker,273,0.05436081242532855,others
fit,272,0.054161688570290724,others
lay,271,0.05396256471525289,others
melted,269,0.05356431700517722,others
inside,269,0.05356431700517722,others
sift,269,0.05356431700517722,others
pulse,269,0.05356431700517722,others
fillet,268,0.053365193150139385,others
sized,267,0.05316606929510155,others
drop,266,0.05296694544006372,others
alternatively,266,0.05296694544006372,others
gravy,264,0.052568697729988054,others
shake,264,0.052568697729988054,others
peak,262,0.052170450019912384,others
whip,261,0.05197132616487455,others
handle,261,0.05197132616487455,others
meringue,260,0.051772202309836715,others
caramel,259,0.05157307845479889,others
tortilla,255,0.05077658303464755,others
look,254,0.050577459179609714,others
cling,253,0.050378335324571887,others
rolling,253,0.050378335324571887,others
cucumber,249,0.04958183990442055,ingredients
extract,248,0.04938271604938271,ingredients
celery,246,0.04898446833930705,ingredients
jar,246,0.04898446833930705,others
spoonful,246,0.04898446833930705,others
broccoli,244,0.04858622062923138,ingredients
slow,244,0.04858622062923138,others
possible,243,0.04838709677419355,others
cr,242,0.04818797291915571,others
caster,242,0.04818797291915571,ingredients
caramelise,242,0.04818797291915571,techniques
steak,241,0.047988849064117885,ingredients
sit,241,0.047988849064117885,others
day,241,0.047988849064117885,others
insert,240,0.04778972520908005,others
rinse,240,0.04778972520908005,others
plum,240,0.04778972520908005,others
turmeric,239,0.047590601354042215,others
caution,236,0.04699322978892871,others
pin,236,0.04699322978892871,tools
reach,236,0.04699322978892871,others
20cm/8,235,0.04679410593389088,others
strain,235,0.04679410593389088,others
spray,231,0.045997610513739545,others
incorporate,230,0.04579848665870171,others
180c/350f,230,0.04579848665870171,others
microwave,230,0.04579848665870171,tools
heatproof,229,0.045599362803663876,others
yeast,229,0.045599362803663876,ingredients
crumb,228,0.04540023894862605,others
mayonnaise,228,0.04540023894862605,ingredients
fl,227,0.045201115093588214,others
glass,227,0.045201115093588214,tools
strawberry,226,0.04500199123855038,ingredients
push,224,0.04460374352847471,others
volume,223,0.044404619673436875,others
prawn,223,0.044404619673436875,ingredients
200c/400f,223,0.044404619673436875,others
scrape,222,0.04420549581839905,others
process,222,0.04420549581839905,others
finely,222,0.04420549581839905,others
oregano,221,0.04400637196336121,ingredients
flatten,219,0.04360812425328554,others
plenty,217,0.043209876543209874,others
create,217,0.043209876543209874,others
tea,216,0.043010752688172046,others
stew,215,0.04281162883313421,others
cherry,215,0.04281162883313421,ingredients
container,214,0.04261250497809638,tools
generously,214,0.04261250497809638,others
equal,214,0.04261250497809638,others
spaghetti,214,0.04261250497809638,ingredients
pear,213,0.04241338112305854,ingredients
resemble,213,0.04241338112305854,others
pat,213,0.04241338112305854,others
cocoa,211,0.04201513341298287,ingredients
lidde,211,0.04201513341298287,others
scoop,210,0.04181600955794504,others
sticky,210,0.04181600955794504,others
banana,210,0.04181600955794504,ingredients
freezer,210,0.04181600955794504,tools
pop,209,0.04161688570290721,others
leg,208,0.041417761847869376,others
clove,206,0.04101951413779371,others
board,206,0.04101951413779371,tools
flat,206,0.04101951413779371,others
crush,206,0.04101951413779371,others
wet,204,0.04062126642771804,others
ham,203,0.04042214257268021,ingredients
creamy,203,0.04042214257268021,others
generous,203,0.04042214257268021,others
ladle,202,0.040223018717642375,others
sour,201,0.04002389486260454,ingredients
crispy,201,0.04002389486260454,others
tightly,200,0.039824771007566706,others
setting,200,0.039824771007566706,others
colander,199,0.03962564715252887,tools
towel,198,0.03942652329749104,others
pestle,197,0.03922739944245321,others
smoke,197,0.03922739944245321,techniques
unattended,197,0.03922739944245321,others
mixed,197,0.03922739944245321,ingredients
chopped,196,0.039028275587415374,others
absorb,196,0.039028275587415374,others
crack,195,0.03882915173237754,others
soda,194,0.038630027877339705,ingredients
prepare,193,0.03843090402230187,others
tuna,193,0.03843090402230187,ingredients
reserved,193,0.03843090402230187,others
rectangle,193,0.03843090402230187,others
measure,193,0.03843090402230187,tools
decorate,192,0.038231780167264036,others
mortar,192,0.038231780167264036,others
wash,189,0.03763440860215054,others
squash,189,0.03763440860215054,ingredients
prevent,188,0.037435284747112704,others
frequently,188,0.037435284747112704,others
flavour,187,0.03723616089207487,others
trim,187,0.03723616089207487,others
apart,186,0.037037037037037035,others
dangerous,186,0.037037037037037035,others
stiff,185,0.0368379131819992,others
patty,184,0.03663878932696137,others
lasagne,184,0.03663878932696137,ingredients
lettuce,183,0.03643966547192354,ingredients
store,181,0.03604141776184787,others
muffin,180,0.035842293906810034,ingredients
wilt,180,0.035842293906810034,others
freeze,180,0.035842293906810034,techniques
reheat,180,0.035842293906810034,others
chorizo,180,0.035842293906810034,others
level,179,0.0356431700517722,others
chip,179,0.0356431700517722,ingredients
raspberry,179,0.0356431700517722,others
pot,179,0.0356431700517722,tools
greaseproof,179,0.0356431700517722,others
1cm/,178,0.03544404619673437,others
loosen,178,0.03544404619673437,others
sandwich,177,0.03524492234169654,others
lot,177,0.03524492234169654,others
walnut,177,0.03524492234169654,others
bone,177,0.03524492234169654,others
nutmeg,176,0.0350457984866587,others
che,175,0.03484667463162087,others
fra,175,0.03484667463162087,others
mussel,175,0.03484667463162087,ingredients
shell,175,0.03484667463162087,others
ensure,174,0.03464755077658303,others
pierce,173,0.0344484269215452,others
