words,frequency,relative_frequency,type
horseradish,39,0.007765830346475508,ingredients
pecorino,33,0.006571087216248507,ingredients
canned,30,0.005973715651135006,ingredients
blue,26,0.005177220230983672,ingredients
dijon,26,0.005177220230983672,ingredients
flaky,25,0.004978096375945838,ingredients
prosciutto,22,0.004380724810832338,ingredients
sirloin,17,0.0033851055356431702,ingredients
tartar,17,0.0033851055356431702,ingredients
fusilli,16,0.0031859816806053365,ingredients
panko,14,0.0027877339705296694,ingredients
sushi,13,0.002588610115491836,ingredients
chili,13,0.002588610115491836,ingredients
clam,11,0.002190362405416169,ingredients
alternative,6,0.0011947431302270011,ingredients
guanciale,4,0.0007964954201513341,ingredients
focaccia,4,0.0007964954201513341,ingredients
mature,4,0.0007964954201513341,ingredients
tiger,2,0.00039824771007566706,ingredients
japanese,2,0.00039824771007566706,ingredients
english,2,0.00039824771007566706,ingredients
portobello,2,0.00039824771007566706,ingredients
shimeji,1,0.00019912385503783353,ingredients
minced,1,0.00019912385503783353,ingredients
pepperoni,1,0.00019912385503783353,ingredients
king,1,0.00019912385503783353,ingredients
